name,popularity,bike_latitude,bike_longitude,free_bikes,empty_slots,review_count,rating,distance,category
Orange Corner,0.0,49.238105,-123.154966,4,14,62,2.6,461.0,Creperies
Pizzeria Bufala,0.957492842058896,49.238105,-123.154966,4,14,0,4.1,90.0,Pizzeria
Ramen DANBO,0.0,49.238105,-123.154966,4,14,15,4.7,476.0,Ramen
Rocanini,0.9035070672522576,49.238105,-123.154966,4,14,0,3.45,354.0,Coffee Shop
Sandeul,0.0,49.238105,-123.154966,4,14,10,4.0,722.0,Korean
Secret Garden Tea,0.0,49.238105,-123.154966,4,14,123,3.7,308.0,Tea Rooms
Secret Garden Tea Co,0.962247528728931,49.238105,-123.154966,4,14,0,3.95,242.0,Tea Room
Shota Sushi,0.9754751447782658,49.238105,-123.154966,4,14,0,3.35,403.0,Sushi Restaurant
Shota Sushi and Grill,0.0,49.238105,-123.154966,4,14,7,3.9,403.0,Japanese
Sofra Mediterannean Kitchen,0.0894321582649928,49.238105,-123.154966,4,14,0,3.65,461.0,Mediterranean Restaurant
Sofra Mediterranean Kitchen,0.3299908015598481,49.238105,-123.154966,4,14,0,,470.0,Theme Restaurant
Southern Delicacy,0.0,49.238105,-123.154966,4,14,23,4.3,754.0,Chinese
Subway,0.9475170689364788,49.238105,-123.154966,4,14,0,3.1,312.0,Deli
Sugarcane Vietnamese Cafe,0.8983507585474237,49.238105,-123.154966,4,14,0,,324.0,Sushi Restaurant
Sushi Bar Ajisai,0.0,49.238105,-123.154966,4,14,430,4.1,472.0,Sushi Bars
Sushi King House,0.910256908546776,49.238105,-123.154966,4,14,0,,59.0,Sushi Restaurant
Sweet E's Pastries & Sweets,0.8745384585487194,49.238105,-123.154966,4,14,0,,440.0,Bakery
The Kurtosh Cafe,0.3548784121678521,49.238105,-123.154966,4,14,0,,473.0,Café
The Patty Shop,0.0,49.238105,-123.154966,4,14,118,4.4,1692.0,Caribbean
Tim Hortons,0.9839092075090364,49.238105,-123.154966,4,14,0,3.4,430.0,"Cafe, Coffee, and Tea House"
Unkai Sushi,0.8682809281355669,49.238105,-123.154966,4,14,0,,58.0,Sushi Restaurant
Vanlimo Limousine Service,0.0,49.238105,-123.154966,4,14,35,4.2,1822.0,Limos
Vegan Shoku,0.0,49.238105,-123.154966,4,14,27,4.4,512.0,Japanese
White Spot,0.975047611644448,49.238105,-123.154966,4,14,0,3.65,63.0,Burger Joint
White Spot Kerrisdale,0.0,49.238105,-123.154966,4,14,56,2.8,66.0,American
Yummy Yogurt 有米酸奶,0.8270045473978779,49.238105,-123.154966,4,14,0,,418.0,Bubble Tea Shop
ZUBU,0.0,49.238105,-123.154966,4,14,64,3.7,393.0,Ramen
Alphabet City,0.8566857113244458,49.243375,-123.104978,7,15,0,,513.0,Bar
Anh and Chi,0.0,49.243375,-123.104978,7,15,743,4.0,1330.0,Vietnamese
Aperture Coffee Bar,0.9823545415678806,49.243375,-123.104978,7,15,0,3.9,640.0,Café
BBQ Chicken,0.0,49.243375,-123.104978,7,15,19,4.6,327.0,Korean
Batard Boulangerie & Cafe Moderne,0.0,49.243375,-123.104978,7,15,148,4.3,1290.0,Coffee & Tea
Blenz Coffee,0.9019783124101208,49.243375,-123.104978,7,15,0,2.9,563.0,Café
Bob Likes Thai Food,0.9413761384689132,49.243375,-123.104978,7,15,199,3.475,929.5,Thai Restaurant
Bon Cafe,0.0,49.243375,-123.104978,7,15,87,4.0,409.0,Vietnamese
Bonjour Banh Mi,0.0,49.243375,-123.104978,7,15,34,4.7,1232.0,Vietnamese
Bonjour Vietnam Bistro,0.0,49.243375,-123.104978,7,15,82,4.1,1297.0,Vietnamese
Breka Bakery & Cafe,0.996722245974063,49.243375,-123.104978,7,15,0,,292.0,Bakery
Breka Bakery & Café,0.0,49.243375,-123.104978,7,15,55,3.9,283.0,Bakeries
Cafe Trafiq,0.9472838690453056,49.243375,-123.104978,7,15,0,4.0,532.0,Bakery
Caffè Artigiano,0.9778719214375478,49.243375,-123.104978,7,15,0,3.25,717.0,Café
Cambie Vietnam Restaurant,0.944589114747302,49.243375,-123.104978,7,15,0,,622.0,Chinese Restaurant
Cambie Vietnamese Restaurant,0.0,49.243375,-123.104978,7,15,86,3.8,627.0,Vietnamese
Chaise Lounge Restaurant,0.0,49.243375,-123.104978,7,15,159,3.3,350.0,Lounges
Chickpea,0.978778809903222,49.243375,-123.104978,7,15,287,3.75,465.5,Falafel Restaurant
Continental Coffee,0.9478539132237294,49.243375,-123.104978,7,15,0,3.6,508.0,Coffee Shop
Corner 29 筷炒,0.9670281264979854,49.243375,-123.104978,7,15,0,,322.0,Chinese Restaurant
Disco Cheetah Korean Grill Truck,0.2406363765919131,49.243375,-123.104978,7,15,0,,13.0,Dining and Drinking
District Eleven,0.0,49.243375,-123.104978,7,15,44,4.2,703.0,Vietnamese
Dream Sushi Japanese Restaurant,0.9371655848782826,49.243375,-123.104978,7,15,0,3.35,379.0,Sushi Restaurant
East is East,0.9818363195874952,49.243375,-123.104978,7,15,528,4.15,346.5,Coffee Shop
Egg & Co,0.0,49.243375,-123.104978,7,15,76,4.0,1135.0,Breakfast & Brunch
Geek Sweets,0.2982756163602679,49.243375,-123.104978,7,15,0,,321.0,Bakery
Grub,0.8839441874927125,49.243375,-123.104978,7,15,0,3.75,452.0,Restaurant
Haiyi Seafood Restaurant,0.0,49.243375,-123.104978,7,15,47,3.4,317.0,Cantonese
Happy Pho,0.3528573464443494,49.243375,-123.104978,7,15,0,,619.0,Vietnamese Restaurant
Hawkers Delight Deli,0.0,49.243375,-123.104978,7,15,370,3.9,617.0,Delis
Helen's Grill,0.9676888595229768,49.243375,-123.104978,7,15,0,3.55,661.0,Diner
Hillcrest Lounge + Pub,0.3956365709251558,49.243375,-123.104978,7,15,0,,197.0,Sports Bar
Ivy's Kitchen Vietnamese Restaurant,0.975008744995919,49.243375,-123.104978,7,15,0,,278.0,Vietnamese Restaurant
Ivy’s Kitchen Vietnamese Restaurant,0.0,49.243375,-123.104978,7,15,20,4.1,279.0,Vietnamese
King's Chinese Cuisine,0.9592418412426964,49.243375,-123.104978,7,15,0,3.3,315.0,Chinese Restaurant
Landmark Hotpot House,0.0,49.243375,-123.104978,7,15,127,3.9,1054.0,Chinese
Le Marché St. George,0.9781051213287212,49.243375,-123.104978,7,15,191,4.3,821.5,Coffee Shop
Liberty Bakery,0.961897728892171,49.243375,-123.104978,7,15,0,4.15,989.0,Bakery
Long's Noodle House,0.925842434606864,49.243375,-123.104978,7,15,0,4.1,341.0,Chinese Restaurant
Masayoshi,0.0,49.243375,-123.104978,7,15,117,3.7,1119.0,Sushi Bars
Matchstick Coffee,0.0,49.243375,-123.104978,7,15,69,3.6,295.0,Coffee & Tea
Matchstick Coffee Roasters,0.9678313705675826,49.243375,-123.104978,7,15,0,4.05,277.0,Café
McDonald's,0.9886768497285812,49.243375,-123.104978,7,15,0,2.55,321.0,Burger Joint
MeeT on Main,0.0,49.243375,-123.104978,7,15,510,4.1,478.0,Comfort Food
Meet on Main,0.9540596214388434,49.243375,-123.104978,7,15,0,4.35,468.0,Vegan and Vegetarian Restaurant
NamNam Restaurant,0.11596512366072,49.243375,-123.104978,7,15,0,,585.0,Filipino Restaurant
Nammos Estiatorio,0.0,49.243375,-123.104978,7,15,153,3.9,1289.0,Tapas/Small Plates
Ogenki Sushi,0.0,49.243375,-123.104978,7,15,122,3.3,434.0,Japanese
Oretachi Curry,0.0,49.243375,-123.104978,7,15,10,3.8,340.0,Ramen
Pho Tan Vietnamese Restaurant,0.945081425628668,49.243375,-123.104978,7,15,0,4.15,274.0,Vietnamese Restaurant
Pizza Carano,0.0,49.243375,-123.104978,7,15,160,4.3,1145.0,Pizza
Portland Craft,0.954461243473642,49.243375,-123.104978,7,15,0,3.7,862.0,Pub
Pretty Good Sandwiches,0.0,49.243375,-123.104978,7,15,1,5.0,27.0,Sandwiches
Published On Main,0.0,49.243375,-123.104978,7,15,167,4.3,1087.0,Tapas/Small Plates
Quejo's Cheesebuns Inc,0.666303911280397,49.243375,-123.104978,7,15,0,,636.0,Bakery
Rocky Mountain Flatbread,0.0,49.243375,-123.104978,7,15,256,4.2,577.0,Gluten-Free
Rocky Mountain Flatbread Co,0.9800225426561467,49.243375,-123.104978,7,15,0,4.2,574.0,Restaurant
Sal y Limón,0.0,49.243375,-123.104978,7,15,681,3.9,1889.0,Mexican
Sawasdee Thai Restaurant,0.9730265459209452,49.243375,-123.104978,7,15,359,4.25,502.5,Thai Restaurant
Seasons In the Park,0.0,49.243375,-123.104978,7,15,575,4.0,580.0,Seafood
Seasons in the Park,0.9900371824270926,49.243375,-123.104978,7,15,0,4.45,535.0,Seafood Restaurant
Solly's Bagelry,0.8781401013123972,49.243375,-123.104978,7,15,0,3.6,675.0,Bagel Shop
Spirithouse,0.3958309041678002,49.243375,-123.104978,7,15,0,,442.0,Bar
Splitz Grill Main Street Ltd,0.2845297783305479,49.243375,-123.104978,7,15,0,2.85,511.0,Burger Joint
Sula Indian Restaurant,0.9670540375970048,49.243375,-123.104978,7,15,0,,586.0,Indian Restaurant
Sula- Main Street,0.0,49.243375,-123.104978,7,15,169,4.4,595.0,Indian
Sun Sui Wah Seafood Restaurant,0.985334317955096,49.243375,-123.104978,7,15,616,3.625,847.0,Cantonese Restaurant
Sushi 7,0.0,49.243375,-123.104978,7,15,67,3.9,1402.0,Sushi Bars
Sushi Hil,0.0,49.243375,-123.104978,7,15,43,4.6,1361.0,Japanese
Sushi Mania,0.9041030225297008,49.243375,-123.104978,7,15,169,3.925,845.5,Sushi Restaurant
Suyo Modern Peruvian,0.0,49.243375,-123.104978,7,15,51,4.5,1218.0,Peruvian
Sweet Thea Bakery,0.9277857670333088,49.243375,-123.104978,7,15,0,,471.0,Bakery
The Acorn,0.9513648671408398,49.243375,-123.104978,7,15,500,4.075,735.5,Vegan and Vegetarian Restaurant
The Fish Counter,0.9207768147485976,49.243375,-123.104978,7,15,384,4.25,867.0,Fish and Chips Shop
The French Table Bistro,0.0,49.243375,-123.104978,7,15,131,3.5,799.0,French
The Garage,0.0899762913443973,49.243375,-123.104978,7,15,0,,638.0,Gay Bar
The Locus,0.0,49.243375,-123.104978,7,15,274,3.9,627.0,Lounges
The Main,0.9554976874344124,49.243375,-123.104978,7,15,0,3.4,540.0,Pub
The Shameful Tiki Room,0.9671058597950432,49.243375,-123.104978,7,15,436,4.225,412.0,Music Venue
Tonton Sushi,0.0,49.243375,-123.104978,7,15,83,4.0,1026.0,Japanese
Toshi Sushi,0.0,49.243375,-123.104978,7,15,467,4.3,1498.0,Sushi Bars
Trafiq Cafe & Bakery,0.0,49.243375,-123.104978,7,15,336,4.4,536.0,Cafes
VFM Winter Market,0.514736937567207,49.243375,-123.104978,7,15,0,,65.0,Food Court
Van Tea Cafe,0.0,49.243375,-123.104978,7,15,63,3.7,1159.0,Cafes
Viet House,0.0,49.243375,-123.104978,7,15,78,3.8,1446.0,Vietnamese
Yugo Restaurant,0.9582572194799642,49.243375,-123.104978,7,15,134,3.9,534.5,Japanese Restaurant
Yum Sweet Shop,0.9525308665967068,49.243375,-123.104978,7,15,0,,613.0,Ice Cream Parlor
Zakkushi Charcoal Grill,0.9816419863448508,49.243375,-123.104978,7,15,0,4.25,689.0,Japanese Restaurant
Zakkushi Dining On Main,0.0,49.243375,-123.104978,7,15,248,3.8,684.0,Japanese
Anh and Chi,0.0,49.245135,-123.116098,12,8,743,4.0,1559.0,Vietnamese
BBQ Chicken,0.0,49.245135,-123.116098,12,8,19,4.6,1091.0,Korean
Bean Around the World,0.1326648269786363,49.245135,-123.116098,12,8,0,,797.0,Café
Bob Likes Thai Food,0.0,49.245135,-123.116098,12,8,199,3.6,1279.0,Thai
Bonjour Banh Mi,0.0,49.245135,-123.116098,12,8,34,4.7,1142.0,Vietnamese
Breka Bakery & Café,0.0,49.245135,-123.116098,12,8,55,3.9,1095.0,Bakeries
Burgoo Bistros,0.0,49.245135,-123.116098,12,8,526,3.9,1780.0,Comfort Food
Café Gloucester,0.0,49.245135,-123.116098,12,8,158,3.4,1160.0,Hong Kong Style Cafe
Cambie Vietnamese Restaurant,0.0,49.245135,-123.116098,12,8,86,3.8,1167.0,Vietnamese
Chaise Lounge Restaurant,0.0,49.245135,-123.116098,12,8,159,3.3,1096.0,Lounges
Chickpea,0.0,49.245135,-123.116098,12,8,287,3.5,1112.0,Vegan
City One Cafe,0.0,49.245135,-123.116098,12,8,0,,854.0,Café
Disco Cheetah Korean Grill Truck,0.2406363765919131,49.245135,-123.116098,12,8,0,,835.0,Dining and Drinking
District Eleven,0.0,49.245135,-123.116098,12,8,44,4.2,1150.0,Vietnamese
Dragon Ball Tea House,0.9572466866182128,49.245135,-123.116098,12,8,0,3.95,952.0,Tea Room
East is East,0.0,49.245135,-123.116098,12,8,528,3.9,1062.0,Middle Eastern
El Camino's,0.0,49.245135,-123.116098,12,8,220,3.4,1649.0,Latin American
English Name,0.0402658478759376,49.245135,-123.116098,12,8,0,,540.0,Tea Room
Extreme Pita,0.924352546413256,49.245135,-123.116098,12,8,0,,678.0,Restaurant
Good Thief,0.0,49.245135,-123.116098,12,8,18,4.3,1573.0,Vietnamese
Hachibei Japanese Restaurant,0.0,49.245135,-123.116098,12,8,84,3.8,1365.0,Japanese
Hawkers Delight Deli,0.0,49.245135,-123.116098,12,8,370,3.9,1134.0,Delis
Hillcrest Lounge + Pub,0.3956365709251558,49.245135,-123.116098,12,8,0,,649.0,Sports Bar
Johnny’s On Oak,0.0,49.245135,-123.116098,12,8,21,4.3,1071.0,Italian
Joon's Kitchen,0.0,49.245135,-123.116098,12,8,70,4.0,1654.0,Korean
Kwong Chow Congee & Noodle House,0.0,49.245135,-123.116098,12,8,148,3.3,1693.0,Noodles
Landmark Hotpot House,0.9836760076178632,49.245135,-123.116098,12,8,127,3.8499999999999996,521.5,Diner
Libations Wine & Beer,0.8927150945107337,49.245135,-123.116098,12,8,0,,789.0,Winery
LuvCravings,0.8738518144247088,49.245135,-123.116098,12,8,0,3.0,540.0,Dessert Shop
Mandarin Hong Kong Cafe,0.987523805822224,49.245135,-123.116098,12,8,0,,761.0,Café
MeeT on Main,0.0,49.245135,-123.116098,12,8,510,4.1,1122.0,Comfort Food
Mobile Viennoiserie,0.2573360799098294,49.245135,-123.116098,12,8,0,,372.0,Dining and Drinking
Osaka Sushi,0.954707398914325,49.245135,-123.116098,12,8,0,3.1,802.0,Sushi Restaurant
Osteria Elio Volpe,0.0,49.245135,-123.116098,12,8,36,3.8,1192.0,Italian
Passion8 Dessert Cafe,0.0,49.245135,-123.116098,12,8,219,4.1,1481.0,Desserts
Pho Xe Lua 24,0.0,49.245135,-123.116098,12,8,119,3.8,1145.0,Vietnamese
Potluck Hawker Eatery,0.0,49.245135,-123.116098,12,8,101,3.5,1054.0,Indonesian
Published On Main,0.0,49.245135,-123.116098,12,8,167,4.3,1381.0,Tapas/Small Plates
Rocky Mountain Flatbread,0.0,49.245135,-123.116098,12,8,256,4.2,1148.0,Gluten-Free
Sawasdee Thai Restaurant,0.0,49.245135,-123.116098,12,8,359,4.0,1127.0,Thai
Seasons In the Park,0.0,49.245135,-123.116098,12,8,575,4.0,464.0,Seafood
Seasons in the Park,0.9900371824270926,49.245135,-123.116098,12,8,0,4.45,453.0,Seafood Restaurant
Second Cup Coffee Co,0.9664969489680904,49.245135,-123.116098,12,8,0,3.05,821.0,Café
Simple Love Coffee Home,0.9869537616438,49.245135,-123.116098,12,8,0,,526.0,Coffee Shop
Starbucks,0.9888193607731872,49.245135,-123.116098,12,8,0,3.4,997.0,Coffee Shop
Sula- Main Street,0.0,49.245135,-123.116098,12,8,169,4.4,1155.0,Indian
Sun Sui Wah Seafood Restaurant,0.0,49.245135,-123.116098,12,8,616,3.6,1255.0,Seafood
Sushi 7,0.0,49.245135,-123.116098,12,8,67,3.9,1005.0,Sushi Bars
Sushi Hil,0.0,49.245135,-123.116098,12,8,43,4.6,1575.0,Japanese
Sushi Mania,0.0,49.245135,-123.116098,12,8,169,3.8,1238.0,Japanese
Suyo Modern Peruvian,0.0,49.245135,-123.116098,12,8,51,4.5,1473.0,Peruvian
The Acorn,0.0,49.245135,-123.116098,12,8,500,3.9,1183.0,Vegan
The Fish Counter,0.0,49.245135,-123.116098,12,8,384,4.4,1245.0,Fish & Chips
The French Table Bistro,0.0,49.245135,-123.116098,12,8,131,3.5,1235.0,French
The General Public,0.0,49.245135,-123.116098,12,8,185,3.4,1595.0,Sushi Bars
The Locus,0.0,49.245135,-123.116098,12,8,274,3.9,1130.0,Lounges
The Shameful Tiki Room,0.0,49.245135,-123.116098,12,8,436,4.3,1103.0,Tiki Bars
Tim Hortons,0.9946234469535026,49.245135,-123.116098,12,8,0,3.0,462.0,"Cafe, Coffee, and Tea House"
Tonton Sushi,0.0,49.245135,-123.116098,12,8,83,4.0,530.0,Japanese
Toshi Sushi,0.0,49.245135,-123.116098,12,8,467,4.3,1646.0,Sushi Bars
Trafiq Cafe & Bakery,0.0,49.245135,-123.116098,12,8,336,4.4,1118.0,Cafes
VFM Winter Market,0.514736937567207,49.245135,-123.116098,12,8,0,,777.0,Food Court
Van Tea Cafe,0.0,49.245135,-123.116098,12,8,63,3.7,1714.0,Cafes
Viet House,0.0,49.245135,-123.116098,12,8,78,3.8,1057.0,Vietnamese
Vij's Restaurant,0.0,49.245135,-123.116098,12,8,455,4.0,1386.0,Indian
Xing Fu Tang Canada,0.0,49.245135,-123.116098,12,8,152,3.6,1048.0,Bubble Tea
Yifang Taiwan Fruit Tea,0.7229714848355293,49.245135,-123.116098,12,8,0,,523.0,Bubble Tea Shop
Yugo Restaurant,0.0,49.245135,-123.116098,12,8,134,4.1,1103.0,Japanese
Zakkushi Dining On Main,0.0,49.245135,-123.116098,12,8,248,3.8,1145.0,Japanese
7-inch Waffle House,0.8866518973402256,49.245535,-123.120496,0,22,0,,604.0,Fast Food Restaurant
Anh and Chi,0.0,49.245535,-123.120496,0,22,743,4.0,1773.0,Vietnamese
BBQ Chicken,0.0,49.245535,-123.120496,0,22,19,4.6,1412.0,Korean
BC Women's Cafeteria,0.9479964242683352,49.245535,-123.120496,0,22,0,,316.0,Cafeteria
Bean Around the World,0.1326648269786363,49.245535,-123.120496,0,22,0,,476.0,Café
Bin 4 Burger Lounge,0.0,49.245535,-123.120496,0,22,129,3.7,1992.0,Burgers
Blue Parrot Coffee,0.9452368922227836,49.245535,-123.120496,0,22,0,,969.0,Coffee Shop
Bonjour Banh Mi,0.0,49.245535,-123.120496,0,22,34,4.7,1234.0,Vietnamese
Breakfast Table,0.0,49.245535,-123.120496,0,22,281,4.3,1952.0,Breakfast & Brunch
Breka Bakery & Café,0.0,49.245535,-123.120496,0,22,55,3.9,1417.0,Bakeries
Burgoo Bistros,0.0,49.245535,-123.120496,0,22,526,3.9,1964.0,Comfort Food
Café Gloucester,0.0,49.245535,-123.120496,0,22,158,3.4,1187.0,Hong Kong Style Cafe
Cambie Vietnamese Restaurant,0.0,49.245535,-123.120496,0,22,86,3.8,1464.0,Vietnamese
Canada Safeway Ltd,0.0,49.245535,-123.120496,0,22,0,,549.0,Bakery
Chai Ghai,0.237254978169899,49.245535,-123.120496,0,22,0,,486.0,Tea Room
Chaise Lounge Restaurant,0.0,49.245535,-123.120496,0,22,159,3.3,1416.0,Lounges
Chickpea,0.0,49.245535,-123.120496,0,22,287,3.5,1424.0,Vegan
City 1 Cafe,0.0,49.245535,-123.120496,0,22,101,3.3,482.0,Malaysian
City One Cafe,0.0,49.245535,-123.120496,0,22,0,,570.0,Café
City1Cafe,0.9463640250301216,49.245535,-123.120496,0,22,0,3.1,495.0,Malay Restaurant
Corner 23,0.9220723696995607,49.245535,-123.120496,0,22,0,2.9,630.0,Taiwanese Restaurant
District Eleven,0.0,49.245535,-123.120496,0,22,44,4.2,1435.0,Vietnamese
Downtown Vancouver,0.2742948942179382,49.245535,-123.120496,0,22,0,,421.0,Property Management Office
Dragon Ball Tea House,0.9572466866182128,49.245535,-123.120496,0,22,0,3.95,658.0,Tea Room
East is East,0.0,49.245535,-123.120496,0,22,528,3.9,1381.0,Middle Eastern
El Camino's,0.0,49.245535,-123.120496,0,22,220,3.4,1850.0,Latin American
English Name,0.0402658478759376,49.245535,-123.120496,0,22,0,,629.0,Tea Room
Extreme Pita,0.924352546413256,49.245535,-123.120496,0,22,0,,390.0,Restaurant
Good Thief,0.0,49.245535,-123.120496,0,22,18,4.3,1783.0,Vietnamese
Hachibei Japanese Restaurant,0.0,49.245535,-123.120496,0,22,84,3.8,1265.0,Japanese
Hawkers Delight Deli,0.0,49.245535,-123.120496,0,22,370,3.9,1430.0,Delis
Hillcrest Lounge + Pub,0.3956365709251558,49.245535,-123.120496,0,22,0,,971.0,Sports Bar
Indian Roti Kitchen,0.0,49.245535,-123.120496,0,22,167,4.5,1550.0,Indian
Johnny’s On Oak,0.0,49.245535,-123.120496,0,22,21,4.3,818.0,Italian
Joon's Kitchen,0.0,49.245535,-123.120496,0,22,70,4.0,1483.0,Korean
Jugo Juice,0.2514153937839273,49.245535,-123.120496,0,22,0,,538.0,Juice Bar
Landmark Hotpot House,0.9836760076178632,49.245535,-123.120496,0,22,127,3.8499999999999996,596.0,Diner
Libations Shaughnessy,0.0,49.245535,-123.120496,0,22,0,,542.0,Winery
Libations Wine & Beer,0.8927150945107337,49.245535,-123.120496,0,22,0,,498.0,Winery
